_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
1,Sri Padmavathy College of Engineering,Anna University,"Sri Padmavathy College of Engineering, Sriperambudur, Kanchipuram",Engineering,AICTE,1220,Anna University,1999,Co-Education,Self Finance,"Sri Padmavathy College of Engineering,

Mevalur Kuppam,

Sriperumbathur,

Valarpuram,

Kanchipuram.",602 105,Sriperambudur,Kanchipuram,044-27197501,044-24352883,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
2,Gnanamani College of Education,Tamil Nadu Teachers Education University,"Gnanamani College of Education, Rasipuram, Namakkal",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Gnanamani College of Education

No.9, Pudupalayam Road

Rasipuram",637 408,Rasipuram,Namakkal,null,null,"B.P.Ed. - Physical Education,B.Ed. - Education,M.Ed. - Education,D.T.Ed. - Dip. in Teacher Education"
3,Sri S. Ramasamy Naidu Memorial College,Madurai Kamaraj University,"Sri S. Ramasamy Naidu Memorial College, Virudhunagar",Arts & Science,null,null,Madurai Kamaraj University,1970,Co-Education,Aided,"Sri S. Ramasamy Naidu Memorial College

Sattur",626 203,Virudhunagar,Virudhunagar,null,null,"B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Nutrition & Dietetics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.A. - English,B.A. - History,M.Sc. - Chemistry,M.Sc. - Computer Science,M.Sc. - Information Technology,M.Sc. - Mathematics,M.Sc. - Physics,M.Com. - (Regular),P.G.D.C.A - Computer Applications,Ph.D. - Commerce,M.Phil. - Commerce"
4,Indian Harvard Arts and Science College,University of Madras,"Indian Harvard Arts and Science College, Chennai",Arts & Science,null,null,University of Madras,2000,Co-Education,Self Finance,"Indian Harvard Arts and Science College

No.2, Manimegalai Street

Pallikkarani

Chennai",601 302,Chennai,Chennai,null,null,"B.Sc. - Microbiology,B.C.A. - Computer Application,B.B.A. - Business Administration"
5,Sri Bharathivelu Arts and Science College,Tiruvalluvar University,"Sri Bharathivelu Arts and Science College, Vellore",Arts & Science,null,null,Tiruvalluvar University,null,Co-Education,Self Finance,"Sri Bharathivelu Arts and Science College

Kalpattu Village

Walaja Taluk,Vellore.",,Vellore,Vellore,null,null,[
6,M.E.T. Engineering College,Anna University - Tirunelveli,"M.E.T. Engineering College, Thovalai, Kanyakumari",Engineering,null,4929,Anna University - Tirunelveli,2009,Co-Education,Self Finance,"M.E.T. Engineering College,

Mogals Garden,

Aralvaimozhi,

Thovalai,

Kanyakumari.",629 304,Thovalai,Kanyakumari,04652262623,null,"B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
7,SMR East Coast College of Engineering and Technology,Anna University - Trichy,"SMR East Coast College of Engineering and Technology, Thanjavur",Engineering,AICTE,3451,Anna University - Trichy,2010,Co-Education,Self Finance,"SMR East Coast College of Engineering and Technology,

East Coast Road (ECR),

Somanathapattinam,

Thiruvathevan,

Thanjavur.",614 612,Thanjavur,Thanjavur,04373-279430,04373-292929,"B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
8,Auxilium College,Tiruvalluvar University,"Auxilium College, Katpadi, Vellore",Arts & Science,NAAC,null,Tiruvalluvar University,1954,Co-Education,Aided,"Auxilium College,

Gandhi Nagar,

Katpadi,

Vellore",632 006,Katpadi,Vellore,241 774,247 281,"B.Sc. - Bio-Chemistry,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Microbiology,B.Sc. - Physical Education,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.C.A. - Computer Application,B.B.A. - Business Administration,B.A. - English,B.A. - History,M.Sc. - Bio-Informatics,M.Sc. - Chemistry,M.Sc. - Computer Science,M.Sc. - Electronic Media,M.Sc. - Mathematics,M.S.W. - Social Work,M.Com. - (Regular),M.A. - English"
9,Kalaimahal College of Education,Tamil Nadu Teachers Education University,"Kalaimahal College of Education, Nagapatinam, Nagapattinam",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Kalaimahal College of Education

No.3/131, Main Road

Sembanarkoil Post

Tranquebar Taluk

Nagapattinam",609 309,Nagapatinam,Nagapattinam,null,null,B.Ed. - Education
10,Ponnusamy Nadar College of Education,Tamil Nadu Teachers Education University,"Ponnusamy Nadar College of Education, Chennai",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Ponnusamy Nadar College of Education

R-28, TNHB Quarters

Ayappakkam

Ambattur

Chennai",600 077,Chennai,Chennai,null,null,B.Ed. - Education
