university,university-href,col-list,col-list-href,College Name,College Category,Approved By,College Code,Affiliated University,Established Year,College Type,Institution Type,Address,Pin Code,Location,District,Contact Number 1,Contact Number 2,Courses
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Sri Padmavathy College of Engineering, Sriperambudur, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/972/Sri-Padmavathy-College-of-Engineering.html","Sri Padmavathy College of Engineering","Engineering","AICTE","1220","Anna University","1999","Co-Education","Self Finance","Sri Padmavathy College of Engineering,

Mevalur Kuppam,

Sriperumbathur,

Valarpuram,

Kanchipuram.","602 105","Sriperambudur","Kanchipuram","044-27197501","044-24352883","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Gnanamani College of Education, Rasipuram, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/2042/Gnanamani-College-of-Education.html","Gnanamani College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Gnanamani College of Education

No.9, Pudupalayam Road

Rasipuram","637 408","Rasipuram","Namakkal","null","null","[{""Courses"":""» B.P.Ed. - Physical Education""},{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""},{""Courses"":""» D.T.Ed. - Dip. in Teacher Education""}]"
"Madurai Kamaraj University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/12/Madurai-Kamaraj-University-Affiliated-Colleges.html","Sri S. Ramasamy Naidu Memorial College, Virudhunagar","http://www.colleges-in-tamilnadu.com/colleges/381/Sri-S-Ramasamy-Naidu-Memorial-College.html","Sri S. Ramasamy Naidu Memorial College","Arts & Science","null","null","Madurai Kamaraj University","1970","Co-Education","Aided","Sri S. Ramasamy Naidu Memorial College

Sattur","626 203","Virudhunagar","Virudhunagar","null","null","[{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Nutrition & Dietetics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Information Technology""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» P.G.D.C.A - Computer Applications""},{""Courses"":""» Ph.D. - Commerce""},{""Courses"":""» M.Phil. - Commerce""}]"
"University of Madras","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/26/University-of-Madras-Affiliated-Colleges.html","Indian Harvard Arts and Science College, Chennai","http://www.colleges-in-tamilnadu.com/colleges/180/Indian-Harvard-Arts-and-Science-College.html","Indian Harvard Arts and Science College","Arts & Science","null","null","University of Madras","2000","Co-Education","Self Finance","Indian Harvard Arts and Science College

No.2, Manimegalai Street

Pallikkarani

Chennai","601 302","Chennai","Chennai","null","null","[{""Courses"":""» B.Sc. - Microbiology""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""}]"
"Tiruvalluvar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/25/Tiruvalluvar-University-Affiliated-Colleges.html","Sri Bharathivelu Arts and Science College, Vellore","http://www.colleges-in-tamilnadu.com/colleges/438/Sri-Bharathivelu-Arts-and-Science-College.html","Sri Bharathivelu Arts and Science College","Arts & Science","null","null","Tiruvalluvar University","null","Co-Education","Self Finance","Sri Bharathivelu Arts and Science College

Kalpattu Village

Walaja Taluk,Vellore.","","Vellore","Vellore","null","null","[]"
"Anna University - Tirunelveli","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/5/Anna-University-Tirunelveli-Affiliated-Colleges.html","M.E.T. Engineering College, Thovalai, Kanyakumari","http://www.colleges-in-tamilnadu.com/colleges/773/M-E-T-Engineering-College.html","M.E.T. Engineering College","Engineering","null","4929","Anna University - Tirunelveli","2009","Co-Education","Self Finance","M.E.T. Engineering College,

Mogals Garden,

Aralvaimozhi,

Thovalai,

Kanyakumari.","629 304","Thovalai","Kanyakumari","04652262623","null","[{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Anna University - Trichy","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/4/Anna-University-Trichy-Affiliated-Colleges.html","SMR East Coast College of Engineering and Technology, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/954/SMR-East-Coast-College-of-Engineering-and-Technology.html","SMR East Coast College of Engineering and Technology","Engineering","AICTE","3451","Anna University - Trichy","2010","Co-Education","Self Finance","SMR East Coast College of Engineering and Technology,

East Coast Road (ECR),

Somanathapattinam,

Thiruvathevan,

Thanjavur.","614 612","Thanjavur","Thanjavur","04373-279430","04373-292929","[{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tiruvalluvar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/25/Tiruvalluvar-University-Affiliated-Colleges.html","Auxilium College, Katpadi, Vellore","http://www.colleges-in-tamilnadu.com/colleges/11/Auxilium-College.html","Auxilium College","Arts & Science","NAAC","null","Tiruvalluvar University","1954","Co-Education","Aided","Auxilium College,

Gandhi Nagar,

Katpadi,

Vellore","632 006","Katpadi","Vellore","241 774","247 281","[{""Courses"":""» B.Sc. - Bio-Chemistry""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Microbiology""},{""Courses"":""» B.Sc. - Physical Education""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» M.Sc. - Bio-Informatics""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Electronic Media""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.S.W. - Social Work""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.A. - English""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Kalaimahal College of Education, Nagapatinam, Nagapattinam","http://www.colleges-in-tamilnadu.com/colleges/2178/Kalaimahal-College-of-Education.html","Kalaimahal College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Kalaimahal College of Education

No.3/131, Main Road

Sembanarkoil Post

Tranquebar Taluk

Nagapattinam","609 309","Nagapatinam","Nagapattinam","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Ponnusamy Nadar College of Education, Chennai","http://www.colleges-in-tamilnadu.com/colleges/2428/Ponnusamy-Nadar-College-of-Education.html","Ponnusamy Nadar College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Ponnusamy Nadar College of Education

R-28, TNHB Quarters

Ayappakkam

Ambattur

Chennai","600 077","Chennai","Chennai","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","St. Joseph's College of Engineering, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/998/St-Josephs-College-of-Engineering.html","St. Joseph's College of Engineering","Engineering","AICTE","1317","Anna University","1994","Co-Education","Self Finance","St. Joseph's College of Engineering,

Old Mamallapuram Road,

Jeppiaar nagar,

Chemmanchery Village,

Sholinganallur Post Office,

Kanchipuram.","600 119","Kanchipuram","Kanchipuram","04424501060","04424501449","[{""Courses"":""» B.Tech. - Bio Technology""},{""Courses"":""» B.Tech. - Chemical Engineering""},{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Electronics And Instrumentation Engineering""},{""Courses"":""» B.E. - Instrumentation and Control Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.Sc. - Computer Technology (Integrated)""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - CAD""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.E. - Power Electronics and Drives""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Dr. Nallini College of Teacher Education, Dharapuram, Erode","http://www.colleges-in-tamilnadu.com/colleges/1987/Dr-Nallini-College-of-Teacher-Education.html","Dr. Nallini College of Teacher Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Dr. Nallini College of Teacher Education

No.68, Ram Nagar

Palani Road

Achiyur Post

Dharapuram","638 673","Dharapuram","Erode","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sree Arumugam Teacher Training College, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/2611/Sree-Arumugam-Teacher-Training-College.html","Sree Arumugam Teacher Training College","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Sree Arumugam Teacher Training College

Rajanagar

Vaithiyanathapuram

Tholudur

Cuddalore","606 303","Cuddalore","Cuddalore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Adhiparasakthi College of Education, Vellore","http://www.colleges-in-tamilnadu.com/colleges/1780/Adhiparasakthi-College-of-Education.html","Adhiparasakthi College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Co-Education","Self Finance","Adhiparasakthi College of Education

G.B. Nagar

Kalavai

Arcot Taluk

Vellore","632 506","Vellore","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
