_id, Name, District, Category, University, Institution Type, College Type
1, Alagappa Govt. Arts College, Sivagangai, Arts & Science, Alagappa University, Government, Co-Education
2, Alagappa University College of Education, Sivagangai, , Alagappa University,
3, Ananda College, Sivagangai, , Alagappa University,
4, Arumugam Pillai Seethai Ammal College, Sivagangai, , Alagappa University,
5, Caussanel College of Arts and Science, Ramnad, , Alagappa University,
6, Dr. Umayal Ramanathan College for Women, Sivagangai, , Alagappa University,
7, Dr. Zakir Hussain College, Sivagangai, , Alagappa University,
8, Ganapathi Seethai Ammal College, Sivagangai, , Alagappa University,
9, Govt. Arts College, Ramnad, , Alagappa University,
10, Govt. Arts College for Women, Ramnad, , Alagappa University,
11, Govt. College for Women, Sivagangai, , Alagappa University,
12, Idhaya Women's College, Sivagangai, , Alagappa University,
13, Madurai Sivakasi Nadars College for Women, Sivagangai, , Alagappa University,
14, Matha College of Arts and Sciences, Sivagangai, , Alagappa University,
15, Pasumpon Thiru. Muthuramalinga Thevar College, Ramnad, , Alagappa University,
16, Raja Duraisingam Govt. Arts College, Sivagangai, , Alagappa University,
17, Ramasamy Tamil College, Sivagangai, , Alagappa University,
18, Seethalakshmi Achi College for Women, Sivagangai, , Alagappa University,
19, Sethupathy Govt. Arts College, Ramnad, , Alagappa University,
20, Sonai Meenal Arts and Science College, Ramnad, , Alagappa University,
21, Sree Sevugan Annamalai College, Sivagangai, , Alagappa University,
22, Sri Saradha Niketan College for Women, Sivagangai, , Alagappa University,
23, Syed Hammeda Arts and Science College, Ramnad, , Alagappa University,
24, Thassim Beevi Abdul Kadar College for Women, Ramnad, , Alagappa University,
25, V.S. Sivalingam Govt. Arts College, Sivagangai, , Alagappa University,
26, A.C.T. College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
27, A.K.T. Memorial College of Engineering and Technology, Villupuram, , Anna University - Chennai,
28, A.R. College of Engineering and Technology, Tirunelveli, , Anna University - Chennai,
29, A.R. Engineering College, Villupuram, , Anna University - Chennai,
30, A.R.M. College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
31, Aarupadai Veedu Institute of Technology, Chennai, , Anna University - Chennai,
32, Adhi College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
33, Adhiparasakthi College of Engineering, Vellore, , Anna University - Chennai,
34, Adhiparasakthi Engineering College, Kanchipuram, , Anna University - Chennai,
35, Agni College of Technology, Chennai, , Anna University - Chennai,
36, Aishwarya College of Engineering and Technology, Erode, , Anna University - Chennai,
37, Aksheyaa College of Engineering, Kanchipuram, , Anna University - Chennai,
38, Alpha College of Engineering, Chennai, , Anna University - Chennai,
39, Anand Institute of Higher Technology, Kanchipuram, , Anna University - Chennai,
40, Annai Mira College Of Engineering And Technology, Vellore, , Anna University - Chennai,
41, Annai Teresa College of Engineering, Villupuram, , Anna University - Chennai,
42, Annai Velilankanni's College Of Engineering, Chennai, , Anna University - Chennai,
43, Annamalaiar College of Engineering, Tiruvanamalai, , Anna University - Chennai,
44, Apollo Engineering College, Kanchipuram, , Anna University - Chennai,
45, Apollo Priyadarshanam Institute of Technology, Kanchipuram, , Anna University - Chennai,
46, Arignar Anna Institute of Science and Technology, Kanchipuram, , Anna University - Chennai,
47, Arul College of Technology, Tirunelveli, , Anna University - Chennai,
48, Arulmigu Meenakshi Amman College of Engineering, Tiruvanamalai, , Anna University - Chennai,
49, Arunai Engineering College, Tiruvanamalai, , Anna University - Chennai,
50, Asan Memorial College of Engineering and Technology, Chennai, , Anna University - Chennai,
51, B.K.R. College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
52, Balaji Institute of Engineering and Technology, Chennai, , Anna University - Chennai,
53, Balamani Arunachalam Educational & Charitable Trust's Group of Institution, Kanchipuram, , Anna University - Chennai,
54, Bhajarang Engineering College, Tiruvallur, , Anna University - Chennai,
55, Bharathidasan Engineering College, Vellore, , Anna University - Chennai,
56, C. Abdul Hakeem College of Engineering and Technology, Vellore, , Anna University - Chennai,
57, C.R. Engineering College, Madurai, , Anna University - Chennai,
58, Central Institute of Plastic Engineering and Technology (CIPET), Chennai, , Anna University - Chennai,
59, Chendu College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
60, Chennai Institute of Technology, Chennai, , Anna University - Chennai,
61, Coimbatore Aeronautical College, Coimbatore, , Anna University - Chennai,
62, Coimbatore Marine College, Coimbatore, , Anna University - Chennai,
63, D.M.I. College of Engineering, Tiruvallur, , Anna University - Chennai,
64, Dhaanish Ahmed College of Engineering, Kanchipuram, , Anna University - Chennai,
65, Dhanalakshmi College of Engineering, Chennai, , Anna University - Chennai,
66, Dhanalakshmi Srinivasan College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
67, Dhirajlal Gandhi College of Technology, Salem, , Anna University - Chennai,
68, Dr. Paul's Engineering College, Villupuram, , Anna University - Chennai,
69, E.S. College of Engineering and Technology, Villupuram, , Anna University - Chennai,
70, Easwari Engineering College, Chennai, , Anna University - Chennai,
71, G.G.R. College of Engineering, Vellore, , Anna University - Chennai,
72, G.K.M. College of Engineering and Technology, Chennai, , Anna University - Chennai,
73, Ganadipathy Tulsi's Engineering College, Vellore, , Anna University - Chennai,
74, Ganesh College of Engineering, Salem, , Anna University - Chennai,
75, Global Institute of Engineering and Technology, Vellore, , Anna University - Chennai,
76, Gojan School of Business and Technology, Chennai, , Anna University - Chennai,
77, Gopal Ramalingam Memorial Engineering College, Chennai, , Anna University - Chennai,
78, GRT Institute of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
79, I.F.E.T. College of Engineering, Villupuram, , Anna University - Chennai,
80, Idhaya Engineering College for Women, Villupuram, , Anna University - Chennai,
81, Indira Gandhi College of Engineering and Technology for Women, Kanchipuram, , Anna University - Chennai,
82, Indira Institute of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
83, J.N.N. Institute of Engineering, Tiruvallur, , Anna University - Chennai,
84, Jawahar Engineering College, Chennai, , Anna University - Chennai,
85, Jaya Engineering College, Tiruvallur, , Anna University - Chennai,
86, Jaya Suriya Engineering College, Tiruvallur, , Anna University - Chennai,
87, JEI Mathaajee College of Engineering, Kanchipuram, , Anna University - Chennai,
88, Jeppiaar Engineering College, Chennai, , Anna University - Chennai,
89, Jeppiaar Institute of Technology, Kanchipuram, , Anna University - Chennai,
90, Jerusalem College of Engineering, Chennai, , Anna University - Chennai,
91, John Bosco Engineering College, Tiruvallur, , Anna University - Chennai,
92, K S R Institute for Engineering and Technology, Namakkal, , Anna University - Chennai,
93, K.C.G. College of Technology, Chennai, , Anna University - Chennai,
94, K.L.N. College of Engineering, Sivagangai, , Anna University - Chennai,
95, K.L.N. College of Information Technology, Sivagangai, , Anna University - Chennai,
96, K.R.S. College of Engineering, Tiruvanamalai, , Anna University - Chennai,
97, K.S. Rangasamy College of Technology, Namakkal, , Anna University - Chennai,
98, K.S.K College of Engineering and Technology, Thanjavur, , Anna University - Chennai,
99, K.S.R. College of Engineering, Namakkal, , Anna University - Chennai,
100, Kalsar College of Engineering, Kanchipuram, , Anna University - Chennai,
101, Kanchi Pallavan Engineering College, Kanchipuram, , Anna University - Chennai,
102, Karaikudi Institute of Technology and Karaikudi Institute of Management, Sivagangai, , Anna University - Chennai,
103, Kings Engineering College, Chennai, , Anna University - Chennai,
104, Kingston Engineering College, Vellore, , Anna University - Chennai,
105, Lakshmi Chand Rajani College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
106, Lord Ayyappa Institute of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
107, Lord Venkateshwara Engineering College, Kanchipuram, , Anna University - Chennai,
108, Loyola Institute of Technology, Chennai, , Anna University - Chennai,
109, Loyola-ICAM College of Engineering and Technology, Chennai, , Anna University - Chennai,
110, Maamallan Institute of Technology, Kanchipuram, , Anna University - Chennai,
111, Madha Engineering College, Chennai, , Anna University - Chennai,
112, Madha Institute of Engineering and Technology, Chennai, , Anna University - Chennai,
113, Magna College of Engineering, Chennai, , Anna University - Chennai,
114, Maha Bharathi Engineering College, Villupuram, , Anna University - Chennai,
115, Mailam Engineering College, Villupuram, , Anna University - Chennai,
116, Mar Ephraem College of Engineering and Technology, Kanyakumari, , Anna University - Chennai,
117, Measi Academy of Architecture, Chennai, , Anna University - Chennai,
118, Meenakshi College of Engineering, Chennai, , Anna University - Chennai,
119, Meenakshi Ramaswamy Engineering College, Ariyalur, , Anna University - Chennai,
120, Meenakshi Sundararajan Engineering College, Chennai, , Anna University - Chennai,
121, MEPCO Schlenk Engineering College, Virudhunagar, , Anna University - Chennai,
122, Misrimal Navajee Munoth Jain Engineering College, Chennai, , Anna University - Chennai,
123, Mohamed Sathak A.J. College of Engineering, Chennai, , Anna University - Chennai,
124, Mother Terasa College of Engineering and Technology, Pudukottai, , Anna University - Chennai,
125, Muthayammal Technical Campus, Namakkal, , Anna University - Chennai,
126, N.S.N. College of Engineering and Technology, Karur, , Anna University - Chennai,
127, Nadar Saraswathi College of Engineering and Technology, Theni, , Anna University - Chennai,
128, New Prince Shri Bhavani College of Engineering and Technology, Chennai, , Anna University - Chennai,
129, OAS Institute of Technology and Management, Trichy, , Anna University - Chennai,
130, Oxford College of Engineering, Tiruvanamalai, , Anna University - Chennai,
131, P.B. College of Engineering, Kanchipuram, , Anna University - Chennai,
132, P.M.R. Engineering College, Chennai, , Anna University - Chennai,
133, P.T. Lee Chengalvaraya Naicker College of Engineering and Technology, Kanchipuram, , Anna University - Chennai,
134, Pallava Raja College of Engineering, Kanchipuram, , Anna University - Chennai,
135, Pallavan College of Engineering, Kanchipuram, , Anna University - Chennai,
136, Panimalar Engineering College, Chennai, , Anna University - Chennai,
137, Panimalar Institute of Technology, Chennai, , Anna University - Chennai,
138, PERI Institute of Technology, Chennai, , Anna University - Chennai,
139, Podhigai College of Engineering and Technology, Vellore, , Anna University - Chennai,
140, Prathyusha Institute of Technology and Management, Tiruvallur, , Anna University - Chennai,
141, Prince Dr. K. Vasudevan College of Engineering and Technology, Chennai, , Anna University - Chennai,
142, Prince Shri Venkateshwara Padmavathy Engineering College, Chennai, , Anna University - Chennai,
143, Priyadarshini Engineering College, Vellore, , Anna University - Chennai,
144, R.M.K. College of Engineering and Technology, Tiruvallur, , Anna University - Chennai,
