poly,poly-href,col-list,col-list-href,CollegeName,CollegeCategory,ApprovedBy,CollegeCode,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses,pagination,pagination-href
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Meenakshi Krishnan Polytechnic College, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1228/Meenakshi-Krishnan-Polytechnic-College.html","Meenakshi Krishnan Polytechnic College","Polytechnic","AICTE","310","1984","Co-Education","Self Finance","Meenakshi Krishnan Polytechnic College

4, Ramson Garden

Sankar Nagar

Pammal

Chennai","600 075","Chennai","Chennai","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","M","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/M/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","D.P.C. Polytechnic College, Omalur, Salem","http://www.colleges-in-tamilnadu.com/colleges/1135/D-P-C-Polytechnic-College.html","D.P.C. Polytechnic College","Polytechnic","AICTE","558","1998","Co-Education","Self Finance","D.P.C. Polytechnic College

Pagalpatti

Omalur","636 304","Omalur","Salem","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Petrochemical Technology""}]","D","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/D/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Cholan Institute of Technology, Sembarambakkam, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/1131/Cholan-Institute-of-Technology.html","Cholan Institute of Technology","Polytechnic","null","742","2008","Co-Education","Self Finance","Cholan Institute of Technology

16, Karai

Sembarambakkam","631501","Sembarambakkam","Kanchipuram","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","C","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/C/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Bhaktavatsalam Polytechnic College, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/1115/Bhaktavatsalam-Polytechnic-College.html","Bhaktavatsalam Polytechnic College","Polytechnic","AICTE","204","1958","Co-Education","Aided","Bhaktavatsalam Polytechnic College

Karaipettai

Kanchipuram","631 552","Kanchipuram","Kanchipuram","2722 2838","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","B","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/B/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","S.A. Raja's Polytechnic College, Vadakkangulam, Tirunelveli","http://www.colleges-in-tamilnadu.com/colleges/1306/S-A-Rajas-Polytechnic-College.html","S.A. Raja's Polytechnic College","Polytechnic","AICTE","353","1984","Co-Education","Self Finance","S.A. Raja's Polytechnic College

Rajanagar

Adankarkulam

Vadakkangulam","627 116","Vadakkangulam","Tirunelveli","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","S.M. Arumugam Polytechnic College, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/1307/S-M-Arumugam-Polytechnic-College.html","S.M. Arumugam Polytechnic College","Polytechnic","AICTE","544","1998","Co-Education","Self Finance","S.M. Arumugam Polytechnic College

A.Reddihalli

Dharmapuri","636 702","Dharmapuri","Dharmapuri","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Andavar Polytechnic College, Gobi, Erode","http://www.colleges-in-tamilnadu.com/colleges/1099/Andavar-Polytechnic-College.html","Andavar Polytechnic College","Polytechnic","AICTE","539","1998","Co-Education","Self Finance","Andavar Polytechnic College

Gobi - Sathy Main Road

Kovai Pirivu

Alukkuli Post

Gobi","638 453","Gobi","Erode","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","A","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/A/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Shri Sitheshwarar Polytechnic College, Arcot, Vellore","http://www.colleges-in-tamilnadu.com/colleges/1328/Shri-Sitheshwarar-Polytechnic-College.html","Shri Sitheshwarar Polytechnic College","Polytechnic","AICTE","562","1999","Co-Education","Self Finance","Shri Sitheshwarar Polytechnic College

Kalavai Road

Poongodu

Arcot","632 503","Arcot","Vellore","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Sri Subabharathi Polytechnic College, Alangudi, Pudukottai","http://www.colleges-in-tamilnadu.com/colleges/1368/Sri-Subabharathi-Polytechnic-College.html","Sri Subabharathi Polytechnic College","Polytechnic","null","820","2009","Co-Education","Self Finance","Sri Subabharathi Polytechnic College

Kallalangudi

Alangudi","622 301","Alangudi","Pudukottai","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering (Tool and Die Design)""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Meenaakshi Ramasamy Polytechnic College, Udayarpalayam, Ariyalur","http://www.colleges-in-tamilnadu.com/colleges/1226/Meenaakshi-Ramasamy-Polytechnic-College.html","Meenaakshi Ramasamy Polytechnic College","Polytechnic","null","707","2007","Co-Education","Self Finance","Meenaakshi Ramasamy Polytechnic College

M R Kalvi Nagar

Thathanur

Udayarpalayam","621 804","Udayarpalayam","Ariyalur","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","M","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/M/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Sri Ramakrishna Polytechnic College, Perambalur","http://www.colleges-in-tamilnadu.com/colleges/1358/Sri-Ramakrishna-Polytechnic-College.html","Sri Ramakrishna Polytechnic College","Polytechnic","null","730","2008","Co-Education","Self Finance","Sri Ramakrishna Polytechnic College, 

Sri Saradha Nagar

Siruvachiur

Perambalur.","621 113","Perambalur","Perambalur","null","null","[{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Pavai Varam Polytechnic College, Rasipuram, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/1273/Pavai-Varam-Polytechnic-College.html","Pavai Varam Polytechnic College","Polytechnic","null","709","2007","Co-Education","Self Finance","Pavai Varam Polytechnic College

Nh-7, Paavai Nagar

Pachal

Rasipuram","637 018","Rasipuram","Namakkal","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","P","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/P/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","St Josephs Polytechnic College, Krishnagiri","http://www.colleges-in-tamilnadu.com/colleges/1379/St-Josephs-Polytechnic-College.html","St Josephs Polytechnic College","Polytechnic","null","810","2009","Co-Education","Self Finance","St Josephs Polytechnic College

Opp To Soolamalai Bus Stop

Periyapanamutlu

Krishnagiri","635 108","Krishnagiri","Krishnagiri","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering (Tool and Die Design)""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Sri Balaji Polytechnic College, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1340/Sri-Balaji-Polytechnic-College.html","Sri Balaji Polytechnic College","Polytechnic","AICTE","385","1995","Co-Education","Self Finance","Sri Balaji Polytechnic College

Balaji Nagar

Kolapakkam

Vandalur

Chennai","600 048","Chennai","Chennai","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
